#separator:tab
#html:false
anti-government             adj.反对政府的	anti-government         adj.反对政府的                                anti-government
infirmary   /ɪnˈfɜːrməri/          n.医务室；医院；养老院治疗室 100%	"infirmary  /ɪnˈfɜːrməri/       n.医务室；医院；养老院治疗室 100%           Go to the infirmary for medical treatment.请去医务室寻求治疗。      来自 infirm, 体弱的, 生病的. 引申词义看病的地方, 通常较小诊所, 医务室等.医务室(infrm虚弱的+ary表场所→接纳虚弱者的地方→诊所)[firm=firm,表示""坚定""]      noun [ C ]uk/ɪnˈfɜː.mər.i/ us/ɪnˈfɝː.mɚ.ri/   US a room in a school, college, or university where students who are injured or feeling ill can go to a nurse for treatment（美国学校的）医务室 UK old use a hospital. It is now used mainly in the names of hospitals（尤用于名称中）医院 Leeds General Infirmary利兹总医院 the Royal Infirmary皇家医院       An infirmary is a hospital, or the area of an institution that's used as a hospital. If you come down with chickenpox at summer camp, you might have to spend a few nights in the camp infirmary.While you can call a hospital an infirmary, you're most likely to do this if you're British and referring to a specific hospital, like the Glasgow Royal Infirmary. Infirmaries are usually spaces within larger buildings that provide healthcare. Inmates go to the prison infirmary when they're sick, and soldiers get their checkups at the military base infirmary. The earliest infirmaries were in monasteries. The Latin root is infirmus, ""weak or frail.""infirmary: infirmaries   infirmary"
correlate   /ˈkɔːrələt/          n.相关物；相关联的人vt.使有相互关系；互相有关系adj.关联的vi.关联时态:correlated, correlating, correlates关联 90%，使相互关联 6%，相关物 4%词性：动词 88%, 名词 12%	correlate  /ˈkɔːrələt/       n.相关物；相关联的人vt.使有相互关系；互相有关系adj.关联的vi.关联时态:correlated, correlating, correlates关联 90%，使相互关联 6%，相关物 4%词性：动词 88%, 名词 12%           Scientists believe that brain size might correlate with intelligence.科学家们认为，大脑容量可能与智力有关联。      cor-, 强调. relate, 相关.n.相互关联的事物v.(with,to)(使)互相关联The average salary is correlated with length of education.平均薪俸与教育时间之长短有互相的关联.【记】cor共同，relate（v.使联系）－把东西联系在一起－使有联系 【参】correlation（n.相互关系；相关性）      verb [ I or T ]uk/ˈkɒr.ə.leɪt/ us/ˈkɔːr.ə.leɪt/   If two or more facts, numbers, etc. correlate or are correlated, there is a relationship between them.相互关系；联系；相关 Stress levels and heart disease are strongly correlated (= connected).压力程度和心脏病密切相关。       If you notice that crumbs appear on your little brother's shirt whenever the cookies disappear from the cookie jar, you can say that you've correlated two facts, meaning that you've established or revealed that they're linked in a way that explains both of them.Detectives correlate pieces of evidence in order to solve crimes. For example, they might correlate a suspect’s bandaged hand with a shattered third-floor window.  Correlate can also be used as a noun. Some companies promote products by suggesting that their products increase “happiness correlates,” or factors that have been shown to have a relationship with happiness, like health and friendship.correlate: correlated, correlates, correlating, correlation, correlative/correlated: uncorrelated/correlation: correlational, correlations/correlative: correlatively, correlatives, correlativity    correlate
commercialization   /kəˌmɜːrʃələˈzeɪʃn/          n.商品化，商业化商品化 100%	commercialization  /kəˌmɜːrʃələˈzeɪʃn/       n.商品化，商业化商品化 100%                                commercialization
tenement   /ˈtenəmənt/          n.房屋；住户，租户；租房子房屋 44%，住户 33%，租户 23%	tenement  /ˈtenəmənt/       n.房屋；住户，租户；租房子房屋 44%，住户 33%，租户 23%           We stayed in a tenement for one year before moving into our own house.我们在搬进自己房子前租了一年的房子。      来自拉丁语 tenementum, 领地, 房子, 所有物, 来自 ten-, 持有, 握住, -ment, 名词后缀. 后用于指廉租公寓, 可能是来自幽默用法. 参照英语名言“风能进, 雨能进, 国王不能进”.      noun [ C ]uk/ˈten.ə.mənt/ us/ˈten.ə.mənt/   a large building divided into apartments, usually in a poor area of a city（常指城市贫民区的）公寓大楼       A tenement is a run-down apartment building. The tenements in Old New York were barely safe enough to live in — fire hazards, no air circulation, and no bathrooms, either.When different immigrant groups first came to the United States in the 1800s, they didn't have much money and would often end up living in close quarters with many people in a small apartment, or tenement. These buildings  were notorious for catching fire and collapsing. In 1901, New York City passed a law that said all tenement apartments had to have running water — ah, indoor plumbing! — and required that each room have a window.tenement: tenements   tenement
compatriot   /kəmˈpeɪtriət/          n.同胞；同国人adj.同胞的；同国的同胞 84%，同国的 7%，同国人 7%，同事 2%	"compatriot  /kəmˈpeɪtriət/       n.同胞；同国人adj.同胞的；同国的同胞 84%，同国的 7%，同国人 7%，同事 2%           My fellow compatriots and I all root for Canada in the Olympics.我与同胞们在奥运会上都支持加拿大。      com-, 强调. -patri, 父亲, 词源同 father. 即同宗同祖的.同胞(com+patriot动→大家一起动→动乱)[com-,con-表示""共同""] 同胞(com共同+patri父亲)[-ot表名词""…人""]【记】com共同，patriot（n.爱国者）－共同热爱祖国的人－同胞      noun [ C ]uk/kəmˈpæt.ri.ət/ us/kəmˈpeɪ.tri.ət/   formal a person who comes from the same country同国人，同胞 US a friend or someone you work with伙伴；同事       A compatriot is a person from the same country as you. Don't confuse it with patriot, which means someone with notable love for his country.The word compatriot is often used to suggest an automatic sense of friendship. All compatriots are assumed to be chummy with each other — though, in fact, there's nothing in the dictionary definition to suggest this. Compatriots may — and often do — loathe each other, as countless civil wars have demonstrated.compatriot: compatriots   compatriot"
salespeople   /'seilz,pi:pl/          n.推销员；[贸易] 售货员；店员原型:salespeople 是 salesperson 的复数店员 57%，售货员 43%	salespeople  /'seilz,pi:pl/       n.推销员；[贸易] 售货员；店员原型:salespeople 是 salesperson 的复数店员 57%，售货员 43%                                salespeople
uplift   /ˈʌplɪft/          n.举起，抬起；道德的向上；精神的高涨vt.提高；抬起vi.提高；上升；升起时态:uplifted, uplifting, uplifts鼓舞 100%词性：名词 70%, 动词 30%	uplift  /ˈʌplɪft/       n.举起，抬起；道德的向上；精神的高涨vt.提高；抬起vi.提高；上升；升起时态:uplifted, uplifting, uplifts鼓舞 100%词性：名词 70%, 动词 30%                       nounuk/ˈʌp.lɪft/ us/ˈʌp.lɪft/  uplift noun IMPROVEMENT  [ U ] formal improvement of a person's moral or spiritual condition（道德境界的）提升，促进；（精神上的）鼓舞，振作 We are counting on your speech, bishop, to give some moral uplift to the delegates.主教，我们寄希望于您的演讲能够提升代表们的道德境界。  uplift noun SUPPORT  [ U ] support or forces that raise an object or hold it up支撑作用，支持作用 The wings are designed to provide uplift when the plane is flying horizontally.机翼是设计用来在飞机平飞时提供支持作用的。 an uplift bra起支撑作用的胸罩  uplift noun INCREASE  [ C or U ] an increase in value价值的增加 Shares have now recovered to 481p - this represents a huge uplift of almost 50 percent in their value.股价已经回升到481便士了——价值大幅跃升近50%。  verb [ T ]uk/ʌpˈlɪft/ us/ʌpˈlɪft/  uplift verb [ T ] IMPROVE  to improve a person's moral or spiritual condition改善（道德或精神方面的状况）  uplift verb [ T ] RAISE  specialized engineering to raise something to a higher position抬起；提起；抬高  uplift verb [ T ] COLLECT  Scottish English to collect goods or people from one place, in order to take them to another（车辆）接纳（货物或乘客） Coaches will set down and uplift passengers only as directed by the police in the streets mentioned.在上述街道，长途汽车只能在警方指定的地点让乘客上下车。          uplift
downpour   /ˈdaʊnpɔːr/          n.倾盆大雨；注下倾盆大雨 100%	downpour  /ˈdaʊnpɔːr/       n.倾盆大雨；注下倾盆大雨 100%           The man stands in the middle of the downpour with his umbrella.该男子持伞站在倾盆大雨中。      【类】downpour:flooding＝wind:erosion 暴雨造成水灾＝风造成侵蚀      noun [ C usually singular ]uk/ˈdaʊn.pɔːr/ us/ˈdaʊn.pɔːr/   a lot of rain in a short time暴雨，骤雨       A downpour is a rainstorm, especially a very heavy one. If you get caught unexpectedly in a downpour, you'll wish you brought an umbrella.A downpour is exactly what it sounds like: torrential, pouring rain. A downpour, even one that's brief, can cause flooding in streets and basements. In some parts of the world, there are whole seasons that regularly bring downpours, while other places experience droughts so severe that people wish for a downpour. The word has been in use since the mid-19th century.downpour: downpours   downpour
rambling   /ˈræmblɪŋ/          adj.漫步的；闲聊的；蔓生的v.漫步（ramble的ing形式）杂乱无章的 54%，闲逛的 35%，动词ramble的现在分词. 11%词性：形容词 66%, 名词 34%	"rambling  /ˈræmblɪŋ/       adj.漫步的；闲聊的；蔓生的v.漫步（ramble的ing形式）杂乱无章的 54%，闲逛的 35%，动词ramble的现在分词. 11%词性：形容词 66%, 名词 34%                 来自 ramble, 蔓延.      adjectiveuk/ˈræm.blɪŋ/ us/ˈræm.blɪŋ/  rambling adjective TALK  too long and confused杂乱无章的；冗长芜杂的；漫无边际的 a long rambling speech冗长而不着边际的讲话  rambling adjective SPREADING  large and spreading out in many different directions向四处延伸的；蔓延到很大区域的；蔓生的 a rambling rose蔓生的蔷薇 a rambling old house一座格局凌乱的老宅  noun [ U ]uk/ˈræm.blɪŋ/ us/ˈræm.blɪŋ/  rambling noun [ U ] WALKING  the activity of going for long walks in the countryside（尤指在乡间）漫步，漫游，闲逛 rambling noun [ U ] SPEECH/WRITING ramblings [ plural ] long and confused speech or writing杂乱无章的话（或文字）；冗长芜杂的文字；漫无边际的闲扯       The adjective rambling means confused and long-winded, the way you could describe your grandfather's endless rambling stories of his childhood.Rambling always means indirect and a little confusing, which can be a negative quality in a classroom lecture or movie plot — but when you're talking about a path through the woods, rambling is a charming way to describe it. You might love to hike through the woods on rambling trails that twist and turn. Rambling comes from the verb ramble, ""walk or stroll,"" which is a variant on the older verb romen, ""to walk, or to go,"" and related to ""roam.""rambling: ramblingly/ramble: rambled, rambler, rambles, rambling/rambler: ramblers    rambling"
sandbox   /ˈsændbɑːks/          n.沙箱；沙盒沙箱 59%，沙盒 39%，沙漏 2%	sandbox  /ˈsændbɑːks/       n.沙箱；沙盒沙箱 59%，沙盒 39%，沙漏 2%                    sandbox 13 87 Neighborhood Parks   1. zoo  2. band shell  3. vendor  4. hand truck  5. merry-go-round  6. horseback rider  7. bridlepath  8. (duck) pond  9. jogging path  10. bench  11. trash can  12. slide  13. sandbox  14. sprinkler  15. playground  16. swings  17. jungle gym  18. seesaw  19. water fountain   noun [ C ]uk/ˈsænd.bɒks/ us/ˈsænd.bɑːks/ US UK sandpit  a hole in the ground, or a box, filled with sand in which children can play（供儿童玩的）沙坑，沙盒       Many playgrounds have a sandbox, an area that's full of fine, soft sand for kids to play in. For many children, all they need is a sandbox, a shovel, and a pail to be perfectly happy.In North America, this common plaything is called a sandbox, while in the U.K. you'll hear it called a sandpit. It's not unusual for people with yards and young children to have a sandbox at home, and they're also found on school playgrounds and in public parks. Kids in sandboxes will dig holes, fill toy trucks with sand, mix the sand with water, and (occasionally) throw sand at each other.sandbox: sandboxes   sandbox
