#separator:tab
#html:false
two-point             n.二点[网络]二点交叉；两点侦测；两点法	two-point         n.二点[网络]二点交叉；两点侦测；两点法                                two-point
symbiosis   /ˌsɪmbaɪˈoʊsɪs/          n.[生态] 共生；合作关系；共栖共生 92%，共栖 8%	"symbiosis  /ˌsɪmbaɪˈoʊsɪs/       n.[生态] 共生；合作关系；共栖共生 92%，共栖 8%           The fish and the coral help each other through symbiosis.鱼和珊瑚形成共生关系。      sym-, 一起, 一致, -bio, 生命, 词源同 biology, 生物学, -sis, 表状态.共生(sym+bio生命+sis→共同生命)[sym-,syn-表示""共同,相同""]【记】sym＝same，bio生化，sis：生物共同生长－共生 【类】parity:equal＝symbiosis:interdependent相称是相等的＝共生是互相依靠的      noun [ U ]uk/ˌsɪm.baɪˈəʊ.sɪs/ us/ˌsɪm.baɪˈoʊ.sɪs/   specialized biology a relationship between two types of animal or plant in which each provides for the other the conditions necessary for its continued existence（动物或植物间的）共生 a relationship between people or organizations that depend on each other equally（人或机构间的）相互依赖的关系，互依关系       Symbiosis, a noun, tells about the relationship between living things that helps all of them stay alive, like the symbiosis between bees that eat nectar from flowers that get cross-pollinated when the bees move from one to the next.To correctly pronounce symbiosis, accent the third syllable: ""sim-be-OH-sis."" The prefix syn comes from the Greek word ""together"" and bios means ""life."" So symbiosis means ""a living together."" Things that live in symbiosis depend on one another, like the clown fish and anemone that protect one another from ocean predators, or the symbiosis between a dairy farmer and one who grows hay, trading milk for hay bales that feed the cows.symbiosis: symbiotic/symbiotic: nonsymbiotic, symbiotically    symbiosis"
insincere   /ˌɪnsɪnˈsɪr/          adj.不诚实的；虚假的不真诚的 55%，虚伪的 45%	"insincere  /ˌɪnsɪnˈsɪr/       adj.不诚实的；虚假的不真诚的 55%，虚伪的 45%           I don't know if I can trust the salesman; his promises seem insincere.我不知道我是否可以相信这个推销员；他的承诺似乎没有诚意。      in-, 不, 非, sincere, 真诚的.      adjectiveuk/ˌɪn.sɪnˈsɪər/ us/ˌɪn.sɪnˈsɪr/ disapproving  pretending to feel something that you do not really feel, or not meaning what you say虚伪的；不诚恳的 an insincere apology虚情假意的道歉 And all this praise just because the poor man has died - doesn't it strike you as a bit insincere?所有这些赞扬仅仅是因为这可怜的人已经去世了——你不觉得这有点虚伪吗？       Someone who's insincere is a little bit fake or phony. Your classmate's insincere apology for interrupting you probably sounds like she doesn't really mean it.When you're insincere, you're not being completely honest. A losing politician often gives an insincere-sounding concession speech, and a teacher who's having a terrible day might wear an insincere smile on her face. The adjective sincere, ""coming from genuine, honest feelings,"" is at the root of insincere — the Latin prefix in, or ""not,"" is combined with sincerus, ""sound, pure, or whole.""insincere: insincerely, insincerest, insincerity/insincerity: insincerities/sincere: insincere, sincerely, sincerer, sincerest, sincerity/sincerity: sincerities    insincere"
unobtrusive   /ˌʌnəbˈtruːsɪv/          adj.不唐突的；谦虚的；不引人注目的谦虚的 48%，不突出的 35%，不显眼的 17%	"unobtrusive  /ˌʌnəbˈtruːsɪv/       adj.不唐突的；谦虚的；不引人注目的谦虚的 48%，不突出的 35%，不显眼的 17%           The chameleon deliberately tries to remain unobtrusive, and ideally almost invisible.变色龙刻意保持不显眼，最好是几乎看不见。      →记1: unobtrusive→un+obtrusive(a. 鲁莽的)→不鲁莽的 obtrusive→ob+trus(=thrust 刺)+ive→到处乱刺的→鲁莽的 【记】un不，obtrusive（adj.炫耀的；突出的）：不显眼的 【反】blatant（adj.喧嚣的；炫耀的）      adjectiveuk/ˌʌn.əbˈtruː.sɪv/ us/ˌʌn.əbˈtruː.sɪv/ approving  not noticeable; seeming to fit in well with the things around不引人注目的，不张扬的，不惹眼的 Make-up this season is unobtrusive and natural-looking.本季的妆容风格是不突兀、不张扬，清新自然。       Use the adjective unobtrusive to describe something that doesn’t attract much attention, like an unobtrusive waiter who doesn't interrupt diners to rattle off the nightly specials, or an unobtrusive stain on the floor that your parents haven't noticed.When you need to blend in, look to the word unobtrusive, which is pronounced ""un-ob-TROO-sive."" Unobtrusive can describe anyone — or anything — that is not very noticeable, such as the unobtrusive black parka that makes you look more or less like everyone else on the city streets in winter, or the unobtrusive security cameras at your bank.unobtrusive: unobtrusively, unobtrusiveness/obtrude: obtruded, obtrudes, obtruding, obtrusive/obtrusive: obtrusively, obtrusiveness, unobtrusive    unobtrusive"
seven-day             七天的持续一周的 100%	seven-day         七天的持续一周的 100%                                seven-day
viola   /viˈoʊlə/          n.中提琴，中提琴演奏者中提琴 100%	viola  /viˈoʊlə/       n.中提琴，中提琴演奏者中提琴 100%           I'm a viola - the violin's big brother.我是一名中提琴手--小提琴的老大哥。      来自拉丁语 vitula, 弦乐器, 可能来自 Vitula, 罗马欢乐女神.【记】源于：violin（n.小提琴）   viola 8 98 Musical Instruments Strings  1. piano  1a. keyboard  2. sheet music  3. ukulele  4. mandolin  5. banjo  6. harp  7. violin  7a. bow  8. viola  9. cello  10. bass  10a. string  11. guitar  11a. pick Woodwinds  12. piccolo  13. flute  14. bassoon  15. oboe  16. clarinet Percussion  17. tambourine  18. cymbals  19. drum  19a. drumsticks  20. conga  21. kettledrum  22. bongos Brass  23. trombone  24. saxophone  25. trumpet  26. French horn  27. tuba Other Instruments  28. accordion  29. organ  30. harmonica  31. xylophone   noun [ C ]uk/viˈəʊ.lə/ us/viˈoʊ.lə/   a wooden musical instrument with four strings, held against the shoulder and played by moving a bow across the strings. It is slightly larger than the violin.中提琴       A viola is a string instrument that's played with a bow. Along with violins and a cello, there's usually a viola in a string quartet.A viola is almost identical to a violin — it's just larger, with a slightly deeper, more mellow sound. Violas, like violins, are played by holding them beneath your chin, putting your fingers on the strings to form notes, and pulling the bow across them. The name comes from viol, a Renaissance instrument, which may stem from Vitula, the Roman goddess of joy. The flower known as a viola is more commonly called a violet.viola: violas, violist/violist: violists    viola
servicing   /ˈsɜːrvɪsɪŋ/          n.维修v.为…服务（service的ing形式）原型:servicing 是 service 的现在分词维修 98%，动词service的现在分词形式. 2%	servicing  /ˈsɜːrvɪsɪŋ/       n.维修v.为…服务（service的ing形式）原型:servicing 是 service 的现在分词维修 98%，动词service的现在分词形式. 2%                 service, 检修, 维修, 保养, -ing, 动名词后缀.               servicing
government-sponsored             政府资助政府支持政府支持的 100%	government-sponsored         政府资助政府支持政府支持的 100%                       adjectiveuk/ˌɡʌv.ən.məntˈspɒnt.səd/ us/ˌɡʌv.ɚn.məntˈspɑːnt.sɚd/   relating to activities that are supported or paid for by a government（活动）受政府支持的，受政府资助的 Cigarette smoking among high school students is on the rise, according to a major new US government-sponsored survey.根据一份由政府出资完成的报告，高中学生抽烟的比率正在上升。          government-sponsored
granddaddy   /ˈɡrændædi/          n.祖父；外公；爷爷	granddaddy  /ˈɡrændædi/       n.祖父；外公；爷爷                                granddaddy
shapeless   /ˈʃeɪpləs/          adj.不成形的；不定形的；不象样的无形状的 60%，不象样的 40%	shapeless  /ˈʃeɪpləs/       adj.不成形的；不定形的；不象样的无形状的 60%，不象样的 40%                 shape, 形状, -less, 无, 没有.      adjectiveuk/ˈʃeɪp.ləs/ us/ˈʃeɪp.ləs/   without a clear form or structure不成形的，没有形状的 My clay pot ended up as just a shapeless lump.我做的陶罐最后只是一个不成形的泥块。 His ideas are interesting, but they're rather shapeless.他的想法很有趣，但没有成形。          shapeless
humpback   /ˈhʌmpbæk/          n.驼背；座头鲸座头鲸 63%，驼背 35%，小鲑鱼 2%	humpback  /ˈhʌmpbæk/       n.驼背；座头鲸座头鲸 63%，驼背 35%，小鲑鱼 2%                 hump, 驮背, back, 背.               humpback
