rank,level,word,phonetic,meaning,full_meaning,example,source
1,,go-ahead,/ˈɡoʊ əhed/,"n.前进，进步；放行信号adj.前进着的前进着的 ，放行信号 ，前进 ，进步 词性：名词 , 形容词                                 go-ahead","n.前进，进步；放行信号adj.前进着的前进着的 ，放行信号 ，前进 ，进步 词性：名词 , 形容词                                 go-ahead",,
2,,god-fearing,/ˈɡɑːd fɪrɪŋ/,adj.虔诚的；敬畏上帝的敬神的 ，虔诚的                        adjectiveuk/ˈɡɒdˌfɪə.rɪŋ/ us/ˈɡɑːdˌfɪr.ɪŋ/ old-fashioned,adj.虔诚的；敬畏上帝的敬神的 ，虔诚的                        adjectiveuk/ˈɡɒdˌfɪə.rɪŋ/ us/ˈɡɑːdˌfɪr.ɪŋ/ old-fashioned,,
3,,signora,/sɪˈnjɔrər/,n.（意大利语）夫人；太太；已婚女子（等于Mrs.或Madam）夫人 ，太太                                 signora,n.（意大利语）夫人；太太；已婚女子（等于Mrs.或Madam）夫人 ，太太                                 signora,,
4,,Ghanaian,/ɡɑːˈneɪən/,adj. 加纳的；加纳人的 n. 加纳人                       adjectiveuk/ɡɑːˈneɪ.ən/ us/ɡɑːˈneɪ.ən/   belonging to or relating to Ghana or its people加纳的；加纳人的  noun [ C ]uk/ɡɑːˈneɪ.ən/ us/ɡɑːˈneɪ.ən/   a person from Ghana加纳人          Ghanaian,adj. 加纳的；加纳人的 n. 加纳人                       adjectiveuk/ɡɑːˈneɪ.ən/ us/ɡɑːˈneɪ.ən/   belonging to or relating to Ghana or its people加纳的；加纳人的  noun [ C ]uk/ɡɑːˈneɪ.ən/ us/ɡɑːˈneɪ.ən/   a person from Ghana加纳人          Ghanaian,,
5,,nameplate,/ˈneɪmpleɪt/,"n.铭牌；标示牌标示牌                  name, 名字, plate, 牌.      noun [ C ]uk/ˈneɪm.pleɪt/ us/ˈneɪm.pleɪt/   a piece of metal or plastic fastened onto something to show who owns it, who has made it, or who lives or works there名称牌，名牌，标示牌","n.铭牌；标示牌标示牌                  name, 名字, plate, 牌.      noun [ C ]uk/ˈneɪm.pleɪt/ us/ˈneɪm.pleɪt/   a piece of metal or plastic fastened onto something to show who owns it, who has made it, or who lives or works there名称牌，名牌，标示牌",,
6,,maddening,/ˈmædnɪŋ/,"adj.令人发狂的；使人恼火的v.发狂（madden的现在分词）原型:maddening 是 madden 的现在分词使人恼火的 ，令人气恼的 ，动词madden的现在分词形式. 词性：形容词 , 名词                  →记1: mad(a. 生气的)→madden(v. 使生气, 使恼怒)→maddening(a. 使人恼怒的) →记2: maddening→demanding(a. 要求多的)→这人要求太多, 实在让人恼怒       adjectiveuk/ˈmæd.ən.ɪŋ/ us/ˈmæd.ən.ɪŋ/   making you angry使人恼怒的","adj.令人发狂的；使人恼火的v.发狂（madden的现在分词）原型:maddening 是 madden 的现在分词使人恼火的 ，令人气恼的 ，动词madden的现在分词形式. 词性：形容词 , 名词                  →记1: mad(a. 生气的)→madden(v. 使生气, 使恼怒)→maddening(a. 使人恼怒的) →记2: maddening→demanding(a. 要求多的)→这人要求太多, 实在让人恼怒       adjectiveuk/ˈmæd.ən.ɪŋ/ us/ˈmæd.ən.ɪŋ/   making you angry使人恼怒的",,
7,,unpleasantness,/ʌnˈplezntnəs/,n.不愉快；不愉快的事，煞风景的事不愉快 ，不快之事                                 unpleasantness,n.不愉快；不愉快的事，煞风景的事不愉快 ，不快之事                                 unpleasantness,,
8,,hydropower,/ˈhaɪdroʊˌpaʊər/,n.水力发出的电力；水力发电水力发电,n.水力发出的电力；水力发电水力发电,,
9,,inquest,/ˈɪŋkwest/,"n.审讯；验尸；讯问查询 ，验尸陪审团                  来自 inquire, 查询, 询问, -st, 过去分词后缀. 引申词义审讯.审问(in进+quest→问进去→审问)[quest,quir,quis,quer=seek,search,表示""""寻求,询问""""]      noun [ C ]uk/ˈɪŋ.kwest/ us/ˈɪŋ.kwest/   an official process to discover the cause of someone's death死因审理","n.审讯；验尸；讯问查询 ，验尸陪审团                  来自 inquire, 查询, 询问, -st, 过去分词后缀. 引申词义审讯.审问(in进+quest→问进去→审问)[quest,quir,quis,quer=seek,search,表示""""寻求,询问""""]      noun [ C ]uk/ˈɪŋ.kwest/ us/ˈɪŋ.kwest/   an official process to discover the cause of someone's death死因审理；验尸",,
10,,trailblazer,/ˈtreɪlbleɪzər/,"n.开拓者；开路的人；先驱者先驱 ，开拓者                  trail, 踪迹, 小径, blaze, 燃烧, -er, 人. 比喻用法.      noun [","n.开拓者；开路的人；先驱者先驱 ，开拓者                  trail, 踪迹, 小径, blaze, 燃烧, -er, 人. 比喻用法.      noun [",,
