#separator:tab
#html:false
go-ahead   /ˈɡoʊ əhed/          n.前进，进步；放行信号adj.前进着的前进着的 30%，放行信号 30%，前进 20%，进步 20%词性：名词 58%, 形容词 42%	go-ahead  /ˈɡoʊ əhed/       n.前进，进步；放行信号adj.前进着的前进着的 30%，放行信号 30%，前进 20%，进步 20%词性：名词 58%, 形容词 42%                                go-ahead
god-fearing   /ˈɡɑːd fɪrɪŋ/          adj.虔诚的；敬畏上帝的敬神的 50%，虔诚的 50%	god-fearing  /ˈɡɑːd fɪrɪŋ/       adj.虔诚的；敬畏上帝的敬神的 50%，虔诚的 50%                       adjectiveuk/ˈɡɒdˌfɪə.rɪŋ/ us/ˈɡɑːdˌfɪr.ɪŋ/ old-fashioned  Someone who is God-fearing is religious and tries to live in the way they believe God would wish them to.虔诚的；敬神的；敬畏上帝的          god-fearing
signora   /sɪˈnjɔrər/          n.（意大利语）夫人；太太；已婚女子（等于Mrs.或Madam）夫人 67%，太太 33%	signora  /sɪˈnjɔrər/       n.（意大利语）夫人；太太；已婚女子（等于Mrs.或Madam）夫人 67%，太太 33%                                signora
Ghanaian   /ɡɑːˈneɪən/          adj. 加纳的；加纳人的 n. 加纳人	Ghanaian  /ɡɑːˈneɪən/       adj. 加纳的；加纳人的 n. 加纳人                       adjectiveuk/ɡɑːˈneɪ.ən/ us/ɡɑːˈneɪ.ən/   belonging to or relating to Ghana or its people加纳的；加纳人的  noun [ C ]uk/ɡɑːˈneɪ.ən/ us/ɡɑːˈneɪ.ən/   a person from Ghana加纳人          Ghanaian
nameplate   /ˈneɪmpleɪt/          n.铭牌；标示牌标示牌 100%	nameplate  /ˈneɪmpleɪt/       n.铭牌；标示牌标示牌 100%                 name, 名字, plate, 牌.      noun [ C ]uk/ˈneɪm.pleɪt/ us/ˈneɪm.pleɪt/   a piece of metal or plastic fastened onto something to show who owns it, who has made it, or who lives or works there名称牌，名牌，标示牌 There was a brass nameplate outside the door saying Dr A. Aslan.门外有一个铜制的姓名牌写着“A‧ 阿斯兰医生”。          nameplate
maddening   /ˈmædnɪŋ/          adj.令人发狂的；使人恼火的v.发狂（madden的现在分词）原型:maddening 是 madden 的现在分词使人恼火的 72%，令人气恼的 14%，动词madden的现在分词形式. 14%词性：形容词 86%, 名词 14%	"maddening  /ˈmædnɪŋ/       adj.令人发狂的；使人恼火的v.发狂（madden的现在分词）原型:maddening 是 madden 的现在分词使人恼火的 72%，令人气恼的 14%，动词madden的现在分词形式. 14%词性：形容词 86%, 名词 14%                 →记1: mad(a. 生气的)→madden(v. 使生气, 使恼怒)→maddening(a. 使人恼怒的) →记2: maddening→demanding(a. 要求多的)→这人要求太多, 实在让人恼怒       adjectiveuk/ˈmæd.ən.ɪŋ/ us/ˈmæd.ən.ɪŋ/   making you angry使人恼怒的 She has a maddening habit of interrupting me when I'm talking to her.和她说话时她老打断我，这个毛病让我十分恼火。       Maddening things are extremely irritating: they make you mad. Some drivers have the maddening habit of following other cars too closely on the highway.If something annoys you a lot, it's maddening. You might try to ignore the maddening tune your sister keeps whistling, or decide to leave a movie half way through because of the maddening acting style of its leading man. The adjective maddening comes from the less-common verb madden, ""annoy someone,"" or ""drive someone insane."" Both words are rooted in the Old English gemædde, ""out of one's mind.""maddening: maddeningly/madden: maddened, maddening, maddens    maddening"
unpleasantness   /ʌnˈplezntnəs/          n.不愉快；不愉快的事，煞风景的事不愉快 90%，不快之事 10%	unpleasantness  /ʌnˈplezntnəs/       n.不愉快；不愉快的事，煞风景的事不愉快 90%，不快之事 10%                                unpleasantness
hydropower   /ˈhaɪdroʊˌpaʊər/          n.水力发出的电力；水力发电水力发电 100%	"hydropower  /ˈhaɪdroʊˌpaʊər/       n.水力发出的电力；水力发电水力发电 100%           Cities near big rivers often get their electricity from hydropower plants.靠近大河的城市通常从水力发电站获得电力。      水力发电(hydro+power电力)[hydy,hydro=water,表示""水""]      noun [ U ]uk/ˈhaɪd.rəʊ.paʊər/ us/ˈhaɪd.roʊ.paʊ.ɚ/   hydroelectric power (= the production of electricity by the force of fast moving water)水力发电          hydropower"
inquest   /ˈɪŋkwest/          n.审讯；验尸；讯问查询 80%，验尸陪审团 20%	"inquest  /ˈɪŋkwest/       n.审讯；验尸；讯问查询 80%，验尸陪审团 20%                 来自 inquire, 查询, 询问, -st, 过去分词后缀. 引申词义审讯.审问(in进+quest→问进去→审问)[quest,quir,quis,quer=seek,search,表示""寻求,询问""]      noun [ C ]uk/ˈɪŋ.kwest/ us/ˈɪŋ.kwest/   an official process to discover the cause of someone's death死因审理；验尸 An inquest is always held if murder is suspected.如果怀疑是谋杀，总要验尸调查。 an examination of or discussion about the reasons for someone's or something's failure（对失败原因的）调查，查究 an inquest into the department's poor performance对该部门业绩不佳的调查       An inquest is when a court of law or a coroner investigates the circumstances of a person's death. If a person in your family dies suddenly, you might attend an inquest at the courthouse.A death doesn't always require an inquest — they are typically carried out when there is something unexplained or suspicious about the way someone died. The inquest might be a step before a murder investigation, for example. Like a trial, a court inquest typically has a verdict issued by a judge, which might be ""natural death"" or ""accidental death."" The Old French root word is enqueste, or ""inquiry.""inquest: inquests   inquest"
trailblazer   /ˈtreɪlbleɪzər/          n.开拓者；开路的人；先驱者先驱 50%，开拓者 50%	trailblazer  /ˈtreɪlbleɪzər/       n.开拓者；开路的人；先驱者先驱 50%，开拓者 50%                 trail, 踪迹, 小径, blaze, 燃烧, -er, 人. 比喻用法.      noun [ C ]uk/ˈtreɪlˌbleɪ.zər/ us/ˈtreɪlˌbleɪ.zɚ/   the first person to do something or go somewhere, who shows that it is also possible for other people开路人，先驱，开拓者 Orville and Wilbur Wright were aviation trailblazers.奥维尔‧莱特和威尔伯‧莱特是航空领域的先驱。       A trailblazer is a person who's the first to do something, whether it's marking a new path through the woods or discovering a cure for cancer.A literal trailblazer blazes, or marks, trails in the wilderness. She does this by making marks or signs on trees and rocks at regular distances along a trail in order to help other hikers find their way. Figurative trailblazers can also be called pioneers or groundbreakers. These are innovators who make strides in fields like science, medicine, or education.trailblazer: trailblazers   trailblazer
imperfectly   /ɪmˈpɜːrfɪktli/          adv.有缺点地；不完美地；未完成地有缺点地 50%，不完全地 25%，不完备地 25%	imperfectly  /ɪmˈpɜːrfɪktli/       adv.有缺点地；不完美地；未完成地有缺点地 50%，不完全地 25%，不完备地 25%                                imperfectly
womanly   /ˈwʊmənli/          adj.像女人的；有女子气质的adv.像女人地；适合于妇女地有女子气质的 60%，女子特有的 20%，女子般的 20%	"womanly  /ˈwʊmənli/       adj.像女人的；有女子气质的adv.像女人地；适合于妇女地有女子气质的 60%，女子特有的 20%，女子般的 20%                       adjectiveuk/ˈwʊm.ən.li/ us/ˈwʊm.ən.li/   Womanly qualities, ideas, or physical features are ones that a woman is typically or traditionally thought to have.妇女的；女性特有的 She referred in a positive way to the ""traditional womanly goals of marriage and motherhood"" several times in her talk.她在讲话中数次以赞同的口吻谈到“结婚和生儿育女这些传统的女性目标”。 She used her womanly wiles/charms to persuade him to change his mind.她用她女性特有的甜言蜜语／魅力说服他改变了主意。 Comparemanly          womanly"
doormat   /ˈdɔːrmæt/          n.门垫；擦鞋垫门垫 69%，受气包 31%	doormat  /ˈdɔːrmæt/       n.门垫；擦鞋垫门垫 69%，受气包 31%                       noun [ C ]uk/ˈdɔː.mæt/ us/ˈdɔːr.mæt/  doormat noun [ C ] MAT  a piece of thick material that is put on the floor by a door, used to clean your shoes on when you go into a building门口地垫，蹭鞋垫  doormat noun [ C ] PERSON  informal disapproving a person who accepts being treated badly and does not complain受气包，出气筒 He may be selfish and insensitive, but she is a doormat.他可能有些自私、感觉迟钝，但她也有点太逆来顺受了。          doormat
